,N,Type,Loss,method,metric,type_dens
222,500,lapl_gauss_KL_div_adapative_dantzig,0.155734306093,A.D,KL,lapl_gauss
223,500,lapl_gauss_KL_div_adapative_dantzig,0.121547707277,A.D,KL,lapl_gauss
224,500,lapl_gauss_KL_div_adapative_dantzig,0.121547707277,A.D,KL,lapl_gauss
225,500,lapl_gauss_KL_div_adapative_dantzig,0.0903679554772,A.D,KL,lapl_gauss
226,500,lapl_gauss_KL_div_adapative_dantzig,0.0903679554772,A.D,KL,lapl_gauss
227,500,lapl_gauss_KL_div_adapative_dantzig,0.0893698695112,A.D,KL,lapl_gauss
228,500,lapl_gauss_KL_div_adapative_dantzig,0.071865690593,A.D,KL,lapl_gauss
229,500,lapl_gauss_KL_div_adapative_dantzig,0.117008213703,A.D,KL,lapl_gauss
230,500,lapl_gauss_KL_div_adapative_dantzig,0.119624368569,A.D,KL,lapl_gauss
231,500,lapl_gauss_KL_div_adapative_dantzig,0.12235318544,A.D,KL,lapl_gauss
232,500,lapl_gauss_KL_div_adapative_dantzig,0.121547707277,A.D,KL,lapl_gauss
233,500,lapl_gauss_KL_div_adapative_dantzig,0.113087278265,A.D,KL,lapl_gauss
234,500,lapl_gauss_KL_div_adapative_dantzig,0.112072227663,A.D,KL,lapl_gauss
235,500,lapl_gauss_KL_div_adapative_dantzig,0.0910770899055,A.D,KL,lapl_gauss
236,500,lapl_gauss_KL_div_adapative_dantzig,0.121547707277,A.D,KL,lapl_gauss
237,500,lapl_gauss_KL_div_adapative_dantzig,0.0923414019117,A.D,KL,lapl_gauss
238,500,lapl_gauss_KL_div_adapative_dantzig,0.117511197024,A.D,KL,lapl_gauss
239,500,lapl_gauss_KL_div_adapative_dantzig,0.071865690593,A.D,KL,lapl_gauss
240,500,lapl_gauss_KL_div_adapative_dantzig,0.154276077239,A.D,KL,lapl_gauss
241,500,lapl_gauss_KL_div_adapative_dantzig,0.109979719123,A.D,KL,lapl_gauss
242,500,lapl_gauss_KL_div_adapative_dantzig,0.0974402650772,A.D,KL,lapl_gauss
243,500,lapl_gauss_KL_div_adapative_dantzig,0.0865126107158,A.D,KL,lapl_gauss
244,500,lapl_gauss_KL_div_adapative_dantzig,0.117511197024,A.D,KL,lapl_gauss
245,500,lapl_gauss_KL_div_adapative_dantzig,0.0865126107158,A.D,KL,lapl_gauss
246,500,lapl_gauss_KL_div_adapative_dantzig,0.071865690593,A.D,KL,lapl_gauss
247,500,lapl_gauss_KL_div_adapative_dantzig,0.0893698695112,A.D,KL,lapl_gauss
248,500,lapl_gauss_KL_div_adapative_dantzig,0.0974401729653,A.D,KL,lapl_gauss
249,500,lapl_gauss_KL_div_adapative_dantzig,0.0974402650772,A.D,KL,lapl_gauss
